code_pac,code_precision,lbl_pac,code_cpf,lbl_cpf,correspondance_directe
PRU,002, Prune d’Ente pour transformation - plantation de 5 ans ou moins,01.24.27,Prunes,1
PRU,003,Autre prune - verger de plus de 5 ans,01.24.27,Prunes,1
PRU,004,Autre prune - plantation de 5 ans ou moins,01.24.27,Prunes,1
PSE,,Pensée,01.28.00.99,"Autres plantes à épices, aromatiques, médicinales et pharmaceutiques",1
PSL,,Persil,01.28.19.43,Persil,1
PSN,,Psyllium noir de Provence,01.28.30.38,Psyllium noir de Provence,1
PSY,,Plantain psyllium,01.28.30.39,Plantain psyllium,1
PTC,,Pomme de terre de consommation,01.13.51.1,Pommes de terre (hors féculière),1
PTC,001,Pomme de terre de consommation,01.13.51.1,Pommes de terre (hors féculière),1
PTC,002,Pomme de terre féculière,01.13.51.2,Pommes de terre féculière,1
PTF,,Pomme de terre féculière,01.13.51.2,Pommes de terre féculière,1
PTR,,Autre prairie temporaire de 5 ans ou moins,01.19.10.11,Prairie temporaire,1
PVP,,Poivron / Piment,01.13.31,"Piments et poivrons, verts (uniquement capsicum)",1
PVP,001,Poivron,01.13.31,"Piments et poivrons, verts (uniquement capsicum)",1
PVP,002,Piment,01.13.31,"Piments et poivrons, verts (uniquement capsicum)",1
PVP,003,Aubergine,01.13.33,Aubergines,1
PVT,,"Pêche (y/c nectarine, brugnon)",01.24.25,Pêches,1
PVT,001,Pêche Pavie transformation - verger > 5 ans,01.24.25,Pêches,1
PVT,002,Pêche Pavie transformation - plantation ≤ 5 ans,01.24.25,Pêches,1
PVT,003,Autre pêche - verger > 5 ans,01.24.25,Pêches,1
PVT,004,Autre pêche - plantation ≤ 5 ans,01.24.25,Pêches,1
PWT,,Poire,01.24.21,Poires,1
PWT,001,Poire Williams pour transformation - verger de plus de 5 ans,01.24.21,Poires,1
PWT,002,Poire Williams pour transformation - plantation de 5 ans ou moins,01.24.21,Poires,1
PWT,003,Autre poire - verger de plus de 5 ans,01.24.21,Poires,1
PWT,004,Autre poire - plantation de 5 ans ou moins,01.24.21,Poires,1
RDF,,Radis fourrager,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
RDI,,Radis,01.13.49.1,Radis,1
RDI,001,Radis potager,01.13.49.1,Radis,1
RDI,002,Radis fourrager,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
RGA,,Ray-grass de 5 ans ou moins,01.19.10.11,Prairie temporaire,1
RIZ,,Riz,01.12.1,"Riz, non décortiqué",1
RIZ,001,Riz - Récolte en grains,01.12.1,"Riz, non décortiqué",1
RIZ,002,Riz - Récolte plante entière,01.12.1,"Riz, non décortiqué",1
ROM,,Romarin,01.28.19.21,Romarin,1
ROQ,,Roquette,01.13.19.86,Roquette,1
ROS,,Roselière,01.92,"Gel fixe, friche, gel spécifique n’entrant pas en rotation",1
RUT,,Rutabaga,01.13.49.6,Rutabagas,1
RVI,,Restructuration du vignoble,01.91,"Jachère, gel entrant en rotation (yc bandes tampon et surfaces non exploitées temporairement)",1
SA5,,Sainfoin implanté pour la récolte 2015,01.19.10.21,Sainfoin,1
SA6,,Sainfoin implanté pour la récolte 2016,01.19.10.21,Sainfoin,1
SA7,,Sainfoin implanté pour la récolte 2017,01.19.10.21,Sainfoin,1
SA8,,Sainfoin implanté pour la récolte 2018,01.19.10.21,Sainfoin,1
SAD,,Sainfoin déshydraté,01.19.10.21,Sainfoin,1
SAG,,Roselière (récolte de sagnes),01.92,"Gel fixe, friche, gel spécifique n’entrant pas en rotation",1
SAI,,Autre sainfoin,01.19.10.21,Sainfoin,1
SAI,001,Autre sainfoin -Récolte en grains,01.19.10.21,Sainfoin,1
SAI,002,Autre sainfoin - Récolte plante entière,01.19.10.21,Sainfoin,1
SBO,,Surface boisée sur une ancienne terre agricole,01.95.19,"Bois non pâturés, sans cueillette",1
SE5,,Serradelle implantée pour la récolte 2015,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
SE6,,Serradelle implantée pour la récolte 2016,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
SE7,,Serradelle implantée pour la récolte 2017,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
SE8,,Serradelle implantée pour la récolte 2018,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
SED,,Serradelle déshydratée,01.11.69.9,"Autres légumes à cosse, verts n.c.a.",1
SER,,Autre serradelle,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
SFI,,Salsifis,01.13.49.5,Salsifis,1
SGE,,Sauge,"01.28.19.23,01.28.30.81,01.28.00.99","Sauge sclarée,Sauge officinale,Autres plantes à épices, aromatiques, médicinales et pharmaceutiques",0
SGH,,Seigle d’hiver,01.11.32,Seigle,1
SGH,001,Seigle d’hiver - Récolte en grains,01.11.32,Seigle,1
SGH,002,Seigle d’hiver - Récolte plante entière,01.11.32,Seigle,1
SGP,,Seigle de printemps,01.11.32,Seigle,1
SGP,001,Seigle de printemps - Récolte en grains,01.11.32,Seigle,1
SGP,002,Seigle de printemps - Récolte plante entière,01.11.32,Seigle,1
SHD,,Surfaces hautement diversifiées (DOM),*,,0
SIN,,Surface pastorale ou parcours non utilisé l’année en cours,01.19.10.13,Parcours herbeux (hors estives collectives),1
SNA,,Surface non agricole non visible sur l’orthophotographie,01.99,Autres surfaces non productive (yc bordures et bandes tampon),1
SNE,,Surface agricole temporairement non exploitée,01.91,"Jachère, gel entrant en rotation (yc bandes tampon et surfaces non exploitées temporairement)",1
SNE,001,"Dépôt temporaire (fumier, stockage de fourrage, …)",01.99,Autres surfaces non productive (yc bordures et bandes tampon),1
SNE,002,"Sol nu (pas de culture implantée, repousses ne respectant pas les conditions des jachères, …)",01.99,Autres surfaces non productive (yc bordures et bandes tampon),1
SNE,003,"Utilisation temporairement non agricole (travaux, parking temporaire longue durée, …)",01.99,Autres surfaces non productive (yc bordures et bandes tampon),1
SNE,004,Culture de sapins de Noël,01.29.2,Sapins et arbres de Noël coupés,1
SNE,005,Autre,01.99,Autres surfaces non productive (yc bordures et bandes tampon),1
SNU,,"Parc d'élevage de monogastriques avec couvert dégradé, voire sol nu",01.19.10.14,Parcours porc ou volaille,0
SOG,,Sorgho,01.11.41,Sorgho,1
SOG,001,Sorgho - Récolte en grains,01.11.41,Sorgho,1
SOG,002,Sorgho -Récolte plante entière,01.11.41,Sorgho,1
SOJ,,Soja,01.11.81,Fèves de soja,1
SOJ,001,Soja - Récolte en grains,01.11.81,Fèves de soja,1
SOJ,002,Soja -Récolte plante entière,01.11.81,Fèves de soja,1
SPH,,Surface pastorale - herbe prédominante et ressources fourragères ligneuses présentes,01.19.10.13,Parcours herbeux (hors estives collectives),1
SPL,,Surface pastorale - ressources fourragères ligneuses prédominantes,01.95.11,Bois pâturés et parcours ligneux,1
SRI,,Sarriette,01.28.19.1,Sarriette,1
SRS,,Sarrasin,01.11.49.2,Sarrasin,1
SRS,001,Sarrasin - Récolte en grains,01.11.49.2,Sarrasin,1
SRS,002,Sarrasin - Récolte plante entière,01.11.49.2,Sarrasin,1
TAB,,Tabac,01.15.1,Tabac brut,1
TBT,,Tubercule tropical,01.13.49.9,"Autres légumes à racine, à bulbe ou à tubercules n.c.a.",1
TBT,001,Igname,01.13.49.9,"Autres légumes à racine, à bulbe ou à tubercules n.c.a.",1
TBT,002,Curcuma,01.28.19.51,Curcuma,1
TBT,003,Gingembre,01.28.17,"Gingembre séché, brut",1
TBT,004,"Autres tubercules (taro/dachine, patate douce, arrow-root, …)","01.13.49.9,01.13.54,01.13.52",,0
TCR,,Taillis à courte rotation,01.91,"Jachère, gel entrant en rotation (yc bandes tampon et surfaces non exploitées temporairement)",1
TCR,001,Aulne glutineux,01.91,"Jachère, gel entrant en rotation (yc bandes tampon et surfaces non exploitées temporairement)",1
TCR,002,Bouleau verruqueux,01.91,"Jachère, gel entrant en rotation (yc bandes tampon et surfaces non exploitées temporairement)",1
TCR,003,Charme,01.91,"Jachère, gel entrant en rotation (yc bandes tampon et surfaces non exploitées temporairement)",1
TCR,004,Châtaignier,01.91,"Jachère, gel entrant en rotation (yc bandes tampon et surfaces non exploitées temporairement)",1
TCR,005,Erable sycomore,01.91,"Jachère, gel entrant en rotation (yc bandes tampon et surfaces non exploitées temporairement)",1
TCR,006,Espèce du genre Peuplier,01.91,"Jachère, gel entrant en rotation (yc bandes tampon et surfaces non exploitées temporairement)",1
TCR,007,Espèce du genre Saule,01.91,"Jachère, gel entrant en rotation (yc bandes tampon et surfaces non exploitées temporairement)",1
TCR,008,Eucalyptus,01.91,"Jachère, gel entrant en rotation (yc bandes tampon et surfaces non exploitées temporairement)",1
TCR,009,Frêne commun,01.91,"Jachère, gel entrant en rotation (yc bandes tampon et surfaces non exploitées temporairement)",1
TCR,010,Merisier,01.91,"Jachère, gel entrant en rotation (yc bandes tampon et surfaces non exploitées temporairement)",1
TCR,011,Robinier faux-acacia,01.91,"Jachère, gel entrant en rotation (yc bandes tampon et surfaces non exploitées temporairement)",1
THY,,Thym,01.28.19.25,Thym,1
TOM,,Tomate,01.13.34,Tomates,1
TOM,001,Tomate pour transformation,01.13.34,Tomates,1
TOM,002,Autre production de tomate en pleine terre,01.13.34,Tomates,1
TOP,,Topinambour,01.13.49.9,"Autres légumes à racine, à bulbe ou à tubercules n.c.a.",1
TOT,,Tomate pour transformation,01.13.34,Tomates,1
TR5,,Trèfle implanté pour la récolte 2015,01.19.10.7,Trèfle,1
TR6,,Trèfle implanté pour la récolte 2016,01.19.10.7,Trèfle,1
TR7,,Trèfle implanté pour la récolte 2017,01.19.10.7,Trèfle,1
TR8,,Trèfle implanté pour la récolte 2018,01.19.10.7,Trèfle,1
TRD,,Trèfle déshydraté,01.11.69.9,"Autres légumes à cosse, verts n.c.a.",1
TRE,,Autre trèfle,01.19.10.7,Trèfle,1
TRE,001,Récolte en grains,01.19.10.7,Trèfle,1
TRE,002,Récolte plante entière,01.19.10.7,Trèfle,1
TRN,,Tournesol,01.11.95,Tournesol,1
TRN,001,Récolte en grains,01.11.95,Tournesol,1
TRN,002,Récolte plante entière,01.11.95,Tournesol,1
TRU,,Truffière (chênaie de plants mycorhizés),01.13.80.2,Truffes,1
TTH,,Triticale d’hiver,01.11.43,Triticale,1
TTH,001,Triticale d’hiver - Récolte en grains,01.11.43,Triticale,1
TTH,002,Triticale d’hiver - Récolte plante entière,01.11.43,Triticale,1
TTP,,Triticale de printemps,01.11.43,Triticale,1
TTP,001,Triticale de printemps - Récolte en grains,01.11.43,Triticale,1
TTP,002,Triticale de printemps - Récolte plante entière,01.11.43,Triticale,1
VAL,,Valériane,01.28.30.44,Valériane,1
VE5,,Vesce implantée pour la récolte 2015,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
VE6,,Vesce implantée pour la récolte 2016,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
VE7,,Vesce implantée pour la récolte 2017,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
VE8,,Vesce implantée pour la récolte 2018,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
VED,,Vesce déshydratée,01.11.69.9,"Autres légumes à cosse, verts n.c.a.",1
VER,,Véronique,01.28.30.45,Véronique,1
VES,,Autre vesce,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
VES,001,Autre vesce - Récolte en grains,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
VES,002,Autre vesce - Récolte plante entière,01.19.10.9,Autres plantes et surfaces fourragères n.c.a.,1
VET,,Vétiver,01.28.30.46,Vétiver,1
VGD,,Verger (DOM),"01.22*,01.23*,01.24*,01.25*,01.26*",,0
VNB,,Vanille sous bois,01.28.18,"Vanille, brute",1
VNL,,Vanille,01.28.18,"Vanille, brute",1
VNV,,Vanille verte,01.28.18,"Vanille, brute",1
VRC,,Vigne : raisins de cuve,01.21.12,Raisin de cuve,1
VRC,001,Raisin de cuve,01.21.12,Raisin de cuve,1
VRC,002,Raisin de table,01.21.11,Raisin de table,1
VRC,003,Vigne sans production,01.21.12,Raisin de cuve,1
VRG,,Verger,"01.22*,01.23*,01.24*,01.25*,01.26*",,0
VRG,001,Abricots,01.24.23,Abricots,1
VRG,002,Amandes,01.25.31,Amandes,1
VRG,003,Pommes,"01.24.10.1,01.24.10.2",,0
VRG,004,"Autre verger (avocat, caroube, mangue, palmiste, pistache…)","01.22*,01.23*,01.24*,01.25*,01.26*",,0
VRN,,Vigne : raisins de cuve non en production,01.21.12,Raisin de cuve,1
VRT,,Vigne : raisins de table,01.21.11,Raisin de table,1
XFE,,X-Felium de 5 ans ou moins,01.19.10.11,Prairie temporaire,1
YLA,,Ylang-ylang,01.28.30.47,Ylang-ylang,1
ZZZ,,Culture inconnue,*,,0
