code_pac,code_precision,lbl_pac,code_cpf,lbl_cpf,correspondance_directe
CBT,003,Autre cerise - verger de plus de 5 ans,01.24.24,Cerises,1
CBT,004,Autre cerise - plantation de 5 ans ou moins,01.24.24,Cerises,1
CCN,,Concombre / Cornichon,01.13.32,Concombres et cornichons,1
CCN,001,"Concombre, Cornichon",01.13.32,Concombres et cornichons,1
CCN,002,Courgette,01.13.39.2,Courgettes,1
CCT,,Courgette / Citrouille,"01.13.39.2,01.13.39.3","Courgettes,Courges et citrouilles",0
CEE,,Chênaie entretenue par des porcins ou des petits ruminants,01.95.11,Bois pâturés et parcours ligneux,1
CEE,001,Chênaie entretenue par des porcins ou des petits ruminants - Futaie (< 100 chênes/ha),01.95.11,Bois pâturés et parcours ligneux,1
CEE,002,Chênaie entretenue par des porcins ou des petits ruminants - Taillis sous futaie de chênes,01.95.11,Bois pâturés et parcours ligneux,1
CEE,003,Chênaie entretenue par des porcins ou des petits ruminants - Taillis dense de chênes,01.95.11,Bois pâturés et parcours ligneux,1
CEL,,Céleri,"01.13.19.2,01.13.49.3","Céleris branche,Céleris raves",0
CES,,Chicorée / Endive / Scarole,"01.13.15,01.13.19.1,01.13.19.84","Chicorées,Endives,Scaroles",0
CGF,,Autre céréale de genre Fagopyrum,01.11.49.2,Sarrasin,1
CGH,,Autre céréale de genre Phalaris,01.11.49.9,Autres céréales,1
CGO,,Autre céréale de genre Sorghum,01.11.41,Sorgho,1
CGP,,Autre céréale de genre Panicum,01.11.49.9,Autres céréales,1
CGS,,Autre céréale de genre Setaria,01.11.49.9,Autres céréales,1
CHA,,Autre céréale d’hiver de genre Avena,01.11.33,Avoine,1
CHF,,Chou fourrager,01.19.10.3,Choux fourrager,1
CHH,,Autre céréale d’hiver de genre Hordeum,01.11.31,Orges,1
CHR,,Chardon Marie,01.28.30.49,Chardon Marie,1
CHS,,Autre céréale d’hiver de genre Secale,01.11.32,Seigle,1
CHT,,Autre céréale d’hiver de genre Triticum,01.11.49.9,Autres céréales,1
CHU,,Chou,01.13.12,Choux,1
CHU,001,Chou potager,01.13.12,Choux,1
CHU,002,Chou fourrager,01.19.10.3,Choux fourrager,1
CHV,,Chanvre,01.16.19.2,Chanvre,1
CHV,000,Chanvre - Autre,01.16.19.2,Chanvre,1
CHV,001,Chanvre - Armanca,01.16.19.2,Chanvre,1
CHV,002,Chanvre - Beniko,01.16.19.2,Chanvre,1
CHV,003,Chanvre - Bialobrzeskie,01.16.19.2,Chanvre,1
CHV,004,Chanvre - CS,01.16.19.2,Chanvre,1
CHV,005,Chanvre - Cannakomp,01.16.19.2,Chanvre,1
CHV,006,Chanvre - Carma,01.16.19.2,Chanvre,1
CHV,007,Chanvre - Carmagnola,01.16.19.2,Chanvre,1
CHV,008,Chanvre - Chamaleon,01.16.19.2,Chanvre,1
CHV,009,Chanvre - Codimono,01.16.19.2,Chanvre,1
