Code,Libellé,Synonymes,Couleur,Catégorie,Statut,Experimental,Commentaire,Délimitation Géographique
760,SERNA INTA RS,non,Rose,Table,supprimé depuis le 01/01/1900,Non,,Non
2707,CARDINAL RG,non,Rouge,Cuve,supprimé depuis le 01/01/2016,Non,,Non
769,CHASSEL.VIOLET RG,non,Rouge,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1616,FELEN,non,Blanc,Cuve,valide depuis le 12/02/2021,Non,,Non
767,CHASSELAS ROSE RS,non,Rose,Table,supprimé depuis le 01/01/1900,Non,,Non
1615,TERRET NOIR N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
405,SANTA PAULA B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
8027,ROUCANEUF RS,non,Rose,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
6080,CASTEL DIVERS,non,Indetermine,Cuve,supprimé depuis le 01/01/1900,Non,,Non
8020,SEYVE VIL.DIV.N,non,Noir,Cuve,supprimé depuis le 01/01/1900,Non,,Non
6085,CASTEL DIVERS B,non,Blanc,Cuve,supprimé depuis le 01/01/1900,Non,,Non
776,ISA B,non,Blanc,Table,supprimé depuis le 01/01/1900,Non,,Non
1503,PINOT BLANC B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
1623,TIBOUREN N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
777,CLAIRETTE ROSE RS,non,Rose,Table,supprimé depuis le 01/01/1900,Non,,Non
774,PRIMA NOIR N,non,Noir,Table,supprimé depuis le 01/01/1900,Non,,Non
775,CLAIRETTE B,non,Blanc,Table,supprimé depuis le 01/01/1900,Non,,Non
772,SULIMA B,non,Blanc,Table,supprimé depuis le 01/01/1900,Non,,Non
770,ORA B,non,Blanc,Table,supprimé depuis le 01/01/1900,Non,,Non
771,OEILLADE N,non,Noir,Table,supprimé depuis le 01/01/1900,Non,,Non
1507,PINOT GRIS G,non,Gris,Cuve,valide depuis le 01/01/1900,Non,,Non
899,DIVERS TABLE EXPERIMENTAL,non,Indetermine,Table,supprimé depuis le 01/01/1900,Non,,Non
779,PERLETTE B,non,Blanc,Table,supprimé depuis le 01/01/1900,Non,,Non
6090,CASTEL DIVERS N,non,Noir,Cuve,supprimé depuis le 01/01/1900,Non,,Non
791,LIVAL N,non,Noir,Mixte,valide depuis le 01/01/2016,Non,délimitation départementale ajoutée,Oui
787,DANLAS B,non,Blanc,Mixte,valide depuis le 01/01/2016,Non,délimitation départementale ajoutée,Oui
303,TERMIDORO B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
2603,MAYORQUIN B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
1513,SAINT LAURENT N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
301,ANGELO PIROVANO RS,non,Rose,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
785,DANAM B,non,Blanc,Table,supprimé depuis le 01/01/1900,Non,,Non
1511,PINOT NOIR N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
1631,UGNI BLANC B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
783,MUSC.ST.VALLIER B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
781,DATT.ST.VALLIER B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
789,DATAL B,non,Blanc,Table,supprimé depuis le 01/01/1900,Non,,Non
305,DELIZ. DI VAPRIO B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
2605,PLANT VERT B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1516,PINOTAGE N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
1515,PINOT PRECOCE N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
7071,PLANTET N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
8043,VILLARD BLANC B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
7193,BELLANDAIS N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1525,PIQUEPOUL GRIS G,non,Gris,Cuve,valide depuis le 01/01/1900,Non,,Non
799,DELRHO N,non,Noir,Table,supprimé depuis le 01/01/1900,Non,,Non
1523,PIQUEPOUL BOUSCH N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1401,MONBADON B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
797,IGNEA RS,non,Rose,Table,supprimé depuis le 01/01/1900,Non,,Non
313,CICLOPICA B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1521,PIQUEPOUL BLANC B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
311,PERLONA B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1641,VALDIGUIE N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
795,RIBOL N,non,Noir,Mixte,valide depuis le 01/01/2016,Non,délimitation départementale ajoutée,Oui
793,PERLAUT B,non,Blanc,Table,supprimé depuis le 01/01/1900,Non,,Non
1527,PIQUEPOUL NOIR N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
317,SULTANA MOSCATA B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
325,AURORA RS,non,Rose,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1415,MONDEUSE N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
2623,BALLANGER,non,Indetermine,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1413,MONDEUSE GRISE G,non,Gris,Cuve,valide depuis le 12/02/2021,Non,,Non
323,PIROVANO 86 A N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
2501,ALEATICO N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
1533,PORTAN N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
203,MUSCAT TERRACINA B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
321,BARBABLEU N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
2621,TRESSOT N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
1411,MONDEUSE BLANCHE B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
443,FLAMING ROSE RS,non,Rose,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1531,PORTUGAIS BLEU N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
1651,VIOGNIER B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
2509,BRUSTIANO B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
2507,MONTANACCIO N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
327,ANGELO LONGO B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1416,MURISCU,non,Noir,Cuve,valide depuis le 30/08/2022,Oui,,Non
2505,BARBAROSSA RS,non,Rose,Cuve,supprimé depuis le 01/01/1900,Non,,Non
2999,DIVERS CUVE EXPERIMENTAL,non,Indetermine,Cuve,supprimé depuis le 01/01/2016,Non,,Non
2635,GRINGET B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
2514,VINTAGHJU N,non,Noir,Cuve,valide depuis le 14/03/2018,Non,,Non
337,MARIA PIROVANO B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
2513,BRUSTIANU B,non,Blanc,Cuve,valide depuis le 14/03/2018,Non,,Non
2512,UVA BIANCONA B,non,Blanc,Cuve,valide depuis le 14/03/2018,Non,,Non
2633,GROS BOUSCHET N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1665,MANSENG NOIR N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
1301,JURANCON NOIR N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
2511,CODIVARTA B.,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
211,MME J.MATHIASZ RS,non,Rose,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1663,GROS MANSENG B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
2631,BALEILLE B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1421,GROS MORRAS.BOUS N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1541,GRAISSE B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
2751,SERVANT B,non,Blanc,Cuve,supprimé depuis le 01/01/1900,Non,,Non
331,VOLTA N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1661,PETIT MANSENG B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
2637,ROUSSETTE D'AYZE B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
8077,GARONNET N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
1561,SAUVIGNON B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
1681,ODOLA N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
351,FORMOSA N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
2405,RIMINESE B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
2647,VALAIS NOIR N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1558,ROUSSELI RS,non,Rose,Cuve,valide depuis le 01/01/1900,Non,"arrÃªtÃ© du 1er octobre 2018 qui remplace ""RosÃ© du Var Rs"" par ""Rousseli Rs"" publiÃ© JORF du 09/10/2018",Non
103,BESOUL KHADEM RG,non,Rouge,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
2403,RIESLING B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
345,MARENGO B,non,Blanc,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1555,PRECOCE DE MALINGRE B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
1675,GROS VERDOT N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
1553,POULSARD N,non,Noir,Cuve,valide depuis le 01/01/1900,Non,,Non
1311,MACABEU B,non,Blanc,Cuve,valide depuis le 01/01/1900,Non,,Non
2521,MONICA NERA N,non,Noir,Multiplication,supprimé depuis le 01/01/2016,Non,,Non
