code_isapv,code_cpfbio
ZCZ,01.11.49.9
F70,01.19.21
ZDA,01.11.92
ZDB,01.11.92
F71,01.11.92
ZDC,01.11.92
ZDA I36,01.11.00.1
MUG,01.19.21
F72,01.25.19.9
F73,01.25.19.9
F74,01.19.21
F75,01.19.21
F76,01.19.21
F77,01.19.21
F78,01.25.19.9
F79,01.25.19.9
F80,01.24.29.1
ZDDZMP,01.13.41.2
ZDDZMP I35,01.13.41.2
ZDEZLF,01.19.10.9
F81,01.24.29.2
F82,01.24.29.2
F83,01.25.33
F84,01.25.35
I36,01.11.99.9
F85,01.19.21
ZDF,01.11.99.9
ZDGH04,01.13.43.1
ZDGH04 I35,01.13.43.1
ZDGH04 I36,01.13.6
ZDGZNI,01.13.43.1
ZDGZNI I35,01.13.43.1
F86,01.26.1
F87,01.28.00.99
F88,01.23.13
ZDHZMVZFA,01.11.31
ZDHZMVZFB,01.11.31
ZDHZMUZFA,01.11.31
ZDHZMUZFB,01.11.31
ZDHZMVZFBI12,01.11.31.1
ZDHZMVZFAI11,01.11.31.1
ZDHZMUZFBI14,01.11.31.1
ZDHZMUZFAI13,01.11.31.1
ZDH I36,01.11.00.1
F89,01.28.19.42
F90,01.28.00.99
F91,01.28.19.46
F92,01.28.19.46
F93,01.23.11
F94,01.13.49.4
F94 I25,01.13.6
F95,01.11.49.9
I37,01.22.19.3
F96,01.28.00.99
F97,01.28.00.99
ZND,01.13.21
ZND I35,01.13.21
F98,01.13.52
E90H47,01.13.39.3
G01,01.19.10.11
G02,01.19.10.11
ZDJ,01.19.10.11
G03,01.19.10.11
G04,01.19.10.11
G05,01.19.10.11
ZDI,01.19.10.11
G06,01.11.99.9
G07G95,01.24.25
G07G94,01.24.25
G07H32,01.24.25
G07H37,01.30.1
G08,01.28.00.99
ZDK,01.28.19.43
ZDK I38,01.28.19.43
ZDK I36,01.13.6
I38,02.10.3
ZDL,01.19.10.11
G09,01.19.10.11
G10,01.28.00.99
G11H09,01.28.12
ZDR,01.13.31
ZDR I35,01.13.31
G12,01.28.00.99
I39,02.10.3
G13,01.28.00.99
G14,01.25.34
I40,01.22.19.9
F36,01.28.00.99
G16,01.28.00.99
G17,01.28.00.99
G15,01.28.30.39
G19H26,01.24.29.2
ZDN,01.13.44
ZDN I36,01.13.6
G20,01.24.21
G20H37,01.30.1
ZOD,01.11.73
ZOD I36,01.11.00.1
ZDOZLFZFB,01.11.75
ZDOZLFZFA,01.11.75
ZDOZMPZFA,01.11.69.1
ZDOZMPZFB,01.11.69.1
ZDOZMP I26,01.13.6
ZDOZNJZFA,01.11.75
ZDOZNJZFB,01.11.75
ZDOZNJ I36,01.11.00.1
G21H35,01.24.10.1
ZDSZLR,01.13.51.1
ZDSZLR I40,01.13.51.1
G21H36,01.24.10.2
ZDSZLR I15,01.13.51.1
ZDSZLP,01.13.51.1
ZDSZLR I16,01.13.51.1
ZDSZLR I33,01.13.51.1
ZDSZLR I32,01.13.6
ZDSZLR I17,01.13.51.1
I41,01.22.19.9
G21H37,01.30.1
G22,01.19.21
E90ZDTI42,01.13.39.32
E90ZDT,01.13.39.32
G24,01.28.00.99
ZDUZLT,01.19.10.12
ZDUZLU,01.19.10.11
G25,01.28.00.99
G26,01.28.00.99
G27,01.24.28
G28G93,01.24.27
G28H38,01.24.27.1
G28G96,01.24.27
G28H07,01.24.27
G28H28,01.24.27
G28H37,01.30.1
G29,01.28.00.99
J57,01.11.49.4
ZDVH11,01.13.49.1
ZDVH11 I35,01.13.49.1
ZDVH08,01.13.49.1
ZDVH08 I35,01.13.49.1
ZDVZLF,01.19.10.9
ZDVZLM,01.13.49.1
ZDVZLM I35,01.13.49.1
ZDVH71,01.13.49.1
ZDVH11 I36,01.13.6
ZDVH30,01.13.49.1
ZDVH30 I35,01.13.49.1
G30,01.28.00.99
I42,01.22.19.9
ZDX,01.19.10.11
ZDX I28,01.19.10.11
G31,01.19.10.11
G31 I39,01.19.10.11
ZDZ,01.19.10.11
ZDZ I29,01.19.10.11
ZDY,01.19.10.11
G32,01.28.30.72
G33,01.28.00.99
G34,01.28.00.99
G35,01.28.00.99
G36,01.28.00.99
G37,01.28.00.99
G38,01.28.00.99
G39,01.28.00.99
T36,01.11.49.9
T37,01.11.93
T88,01.11.75
ZOE,01.13.19.5
ZOF,01.11.96
ZEA,01.12.1
I43,02.10.3
G40,01.28.00.99
G41,01.13.19.89
G41 I35,01.13.19.89
G42,01.19.21
G43,01.19.21
ZEC,01.19.10.9
G44,01.28.00.99
ZEC I36,01.19.10.9
G45,01.28.00.99
ZED,01.13.49.5
I44,02.10.3
I45,01.22.19.9
ZEH,01.11.49.2
G46,01.11.49.2
G47,01.28.19.1
G48,01.28.19.1
G49,01.28.30.81
G50,01.28.19.23
I46,02.10.3
G51,01.19.21
G52,01.13.49.9
G53,01.28.00.99
G54,01.28.00.99
ZEJ ZFA,01.11.32
ZEJ ZFB,01.11.32
G55,01.11.32
ZEJ I36,01.11.00.1
I47,02.10.3
ZEK,01.19.10.9
G59,01.28.00.99
ZEL,01.11.81
ZEL I36,01.11.00.1
G56,01.28.00.99
ZNE I18,01.11.41
ZNE I19,01.11.41
G57,01.28.00.99
ZEM,01.19.10.9
G58,01.28.00.99
ZENH72,01.15.1
ZENZEU,01.15.1
ZENZEW,01.15.1
ZENZEV,01.15.1
G60,01.19.21
G61,01.19.21
G62,01.28.00.99
G63,01.28.00.99
ZMAH44 I35,01.13.34
ZMA,01.13.34
ZMAG97,01.13.34
ZMAG97 I35,01.13.34
ZMAH05,01.13.34
ZMAH05 I35,01.13.34
ZMAH01,01.13.34
ZMAH01 I35,01.13.34
ZMAH41 I35,01.13.34
ZMAH41,01.13.34
ZMAH40 I35,01.13.34
ZMAH40,01.13.34
ZMA I35,01.13.34
ZMAH44,01.13.34
G64,01.13.49.9
ZMB,01.11.95
ZMB I36,01.11.00.1
G65,01.19.10.7
ZMG,01.19.10.7
ZMG I36,01.19.31
G66,01.19.10.7
ZMD,01.19.10.7
ZMD I36,01.19.31
ZMH,01.19.10.7
G67,01.19.10.7
G68,01.19.10.7
ZMF,01.19.10.7
ZME,01.19.10.7
ZME I36,01.19.31
G69,01.19.10.7
G70,01.19.10.7
G71,01.19.10.7
ZMC,01.19.10.7
