code_production	lbl_production	N°DQF	Produit (Cat 3)
01.24.26	Nectarines	1056	Nectarines et brugnons
01.24.27	Prunes	1057	Prunes
01.24.27.1	Prunes d'Ente	1057	Prunes
01.24.28	Prunelles	1057	Prunes
01.24.29.1	Autres fruits à pépins	1140	Autres Fruits à pépins
01.24.29.2	Autres fruits à noyau	1139	Fruits à noyaux
01.25.11	Kiwis	1074	Kiwis
01.25.12	Framboises	1070	Framboises
01.25.13	Fraises	1073	Fraises
01.25.19.1	Cassis	1069	Cassis
01.25.19.2	Myrtilles	1071	Myrtilles
01.25.19.4	Airelles	1150	Autres fruits rouges
01.25.19.5	Groseilles	1150	Autres fruits rouges
01.25.19.9	Autres baies (hors cassis et myrtilles)	1150	Autres fruits rouges
01.25.2	Semences fruitières	3001	Semences et plants
01.25.31	Amandes	1062	Amandes
01.25.32	Châtaignes et marrons	1063	Châtaignes
01.25.33	Noisettes	1065	Noisettes
01.25.34	Pistaches	1141	Autres Fruits à coque
01.25.35	Noix	1064	Noix
01.25.39	Autres fruits à coque (à l'exclusion des noix sauvages, arachides et noix de coco)	1141	Autres Fruits à coque
01.26.1	Olives	1058	Olives
01.26.11	Olives de table	1058	Olives
01.26.12	Olives à huile	1058	Olives
01.26.2	Noix de coco	1075	Autres fruits
01.26.9	Autres fruits oléagineux	1075	Autres fruits
01.27.10.1	Honeybush	1081	Autres cultures industrielles
01.27.10.2	Rooibos	1081	Autres cultures industrielles
01.27.10.9	Autres plantes à boisson	1081	Autres cultures industrielles
01.27.11	Café vert, en cerise ou en grain	1081	Autres cultures industrielles
01.27.12	Thé en feuilles	1081	Autres cultures industrielles
01.27.13	Maté en feuilles	1081	Autres cultures industrielles
01.27.14	Cacao en fèves	1155	Cacao
01.28.00.99	Autres plantes à épices, aromatiques, médicinales et pharmaceutiques	1116	Divers PPAM
01.28.11	Poivre (piper spp.), brut	1116	Divers PPAM
01.28.12	Piments et poivrons (capsicum spp.) séchés, bruts	1116	Divers PPAM
01.28.13	Muscade, macis et cardamome, bruts	1116	Divers PPAM
01.28.14.1	Coriandre (graines)	1087	Coriandre
01.28.14.2	Fenouil doux et amer	1089	Fenouil doux et amer
01.28.14.31	Anis	1116	Divers PPAM
01.28.14.32	Badiane	1116	Divers PPAM
01.28.14.9	Cumin, carvi et genièvre, bruts	1116	Divers PPAM
01.28.15	Cannelle, brute	1116	Divers PPAM
01.28.16	Clous de girofle (entiers), bruts	1116	Divers PPAM
01.28.17	Gingembre séché, brut	1116	Divers PPAM
01.28.18	Vanille, brute	1115	Vanille
01.28.19.1	Sarriette	1116	Divers PPAM
01.28.19.21	Romarin	1105	Romarin
01.28.19.22	Safran	1157	Safran
01.28.19.23	Sauge sclarée	1109	Sauge sclarée
01.28.19.24	Serpolet	1110	Serpolet
01.28.19.25	Thym	1111	Thym
01.28.19.26	Aneth	1082	Aneth
01.28.19.27	Basilic	1083	Basilic
01.28.19.28	Camomille romaine	1085	Camomille romaine
01.28.19.29	Cerfeuil	1086	Cerfeuil
01.28.19.3	Menthe	1099	Menthe douce
01.28.19.31	Menthe douce	1099	Menthe douce
01.28.19.32	Menthe poivrée	1100	Menthe poivrée
01.28.19.41	Fenugrec	1090	Fenugrec
01.28.19.42	Origans	1102	Origans
01.28.19.43	Persil	1103	Persil
01.28.19.44	Ciboulette	1116	Divers PPAM
01.28.19.45	Estragon	1116	Divers PPAM
01.28.19.46	Oseille	1116	Divers PPAM
01.28.19.47	Coriandre (herbe)	1087	Coriandre
01.28.19.48	Pensées	1116	Divers PPAM
01.28.19.51	Curcuma	1116	Divers PPAM
01.28.19.52	Laurier (feuilles)	1116	Divers PPAM
01.28.2	Houblon en cônes	1079	Houblon
01.28.30.11	Lavande	1092	Lavande
01.28.30.12	Lavandin	1093	Lavandin
01.28.30.2	Marjolaine	1094	Marjolaine
01.28.30.31	Matricaire	1095	Matricaire
01.28.30.32	Hysope	1116	Divers PPAM
01.28.30.33	Bardane	1116	Divers PPAM
01.28.30.34	Bleuet	1116	Divers PPAM
01.28.30.35	Bugle rampant	1116	Divers PPAM
01.28.30.36	Géranium	1116	Divers PPAM
01.28.30.37	Ortie	1116	Divers PPAM
01.28.30.38	Psyllium noir de Provence	1116	Divers PPAM
01.28.30.39	Plantain psyllium	1116	Divers PPAM
01.28.30.41	Echinacées	1088	Echinacées
01.28.30.42	Calendula	1084	Calendula
01.28.30.43	Mauve	1096	Mauve
01.28.30.44	Valériane	1112	Valériane
01.28.30.45	Véronique	1116	Divers PPAM
01.28.30.46	Vétiver	1116	Divers PPAM
01.28.30.47	Ylang-ylang	1116	Divers PPAM
01.28.30.48	Angélique	1116	Divers PPAM
01.28.30.49	Chardon Marie	1116	Divers PPAM
01.28.30.5	Mélilot	1097	Mélilot
01.28.30.51	Citronelle	1116	Divers PPAM
01.28.30.6	Mélisse	1098	Mélisse
01.28.30.71	Millepertuis	1116	Divers PPAM
01.28.30.72	Reine des prés	1104	Reine des prés
01.28.30.81	Sauge officinale	1108	Sauge officinale
01.28.30.82	Verveine odorante	1113	Verveine odorante
01.28.30.83	Verveine officinale	1114	Verveine officinale
01.29.00.91	Miscanthus	1131	Autres
01.29.1	Caoutchouc naturel brut	1131	Autres
01.29.2	Sapins et arbres de Noël coupés	1131	Autres
01.30.1	Plants : plants de pépinière, bulbes, tubercules et rhizomes, boutures et greffons ; blanc de champignon	3001	Semences et plants
01.91	Jachère, gel entrant en rotation (yc bandes tampon et surfaces non exploitées temporairement)	1130	Jachère, gel annuel entrant en rotation
01.92	Gel fixe, friche, gel spécifique n’entrant pas en rotation	1159	Gel fixe, friche,gel spécifique n'entrant pas en rotation
01.93	Engrais vert	1133	Gel vert, Engrais verts
01.95.11	Bois pâturés et parcours ligneux	1137	Bois, Landes
01.95.19	Bois non pâturés, sans cueillette	1137	Bois, Landes
01.95.21	Zone de cueillette de baies sauvages	1149	Cueillette de baies sauvages
01.95.22	Zone de cueillette de plantes à parfum aromatiques et médicinales sauvages	1117	Cueillette (PPAM)
01.95.23	Zone de cueillette de champignons sauvages	1158	Cueillette de champignons sauvages
01.95.24	Autres zones de cueillette sauvage	1131	Autres
01.95.25	Zone de cueillette de fruits à coque	1131	Autres
01.95.4	Estives ou alpages collectifs	1156	Estives ou alpages collectifs
01.99	Autres surfaces non productive (yc bordures et bandes tampon)	1160	Surface non agricole
02.10.11	Plants d'arbres forestiers	3001	Semences et plants
02.10.12	Semences d'arbres forestiers	3001	Semences et plants
02.10.3	Arbres forestiers	1131	Autres
08.93.1	Sel de mer	1131	Autres
