code_production,libelle_cpf,lbl_production,précisions,indicateur,mesure,nomenclature,actif,lien_code,lien_direct,type,activites,sous_groupe,groupe
01.13.19.7,Pousses,Jeunes pousses,,Surface constatée,Hectare,BIO v1.4,1,,,Surfaces,Production,Légumes de plein champ,Légumes
01.13.19.81,Feuilles de chêne,Feuille de chêne,,Surface constatée,Hectare,BIO v1.4,1,,,Surfaces,Production,Légumes de plein champ,Légumes
01.13.19.82,Batavia,Batavia,,Surface constatée,Hectare,BIO v1.4,1,,,Surfaces,Production,Légumes de plein champ,Légumes
01.13.19.83,Mâches,Mâche,,Surface constatée,Hectare,BIO v1.4,1,,,Surfaces,Production,Légumes de plein champ,Légumes
01.13.19.84,Scaroles,Scarole,,Surface constatée,Hectare,BIO v1.4,1,,,Surfaces,Production,Légumes de plein champ,Légumes
01.13.19.85,Frisées,Frisée,,Surface constatée,Hectare,BIO v1.4,1,,,Surfaces,Production,Légumes de plein champ,Légumes
01.13.19.86,Roquette,Roquette,,Surface constatée,Hectare,BIO v1.6,1,,,Surfaces,Production,Légumes de plein champ,Légumes
01.13.19.89,Autres salades,Autre salade,,Surface constatée,Hectare,BIO v1.4,1,,,Surfaces,Production,Légumes de plein champ,Légumes
01.13.19.9,Autres légumes à feuilles ou à tiges,Autre légume à feuille ou à tige,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Légumes de plein champ,Légumes
01.13.21,Pastèques,Pastèque,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Légumes de plein champ,Légumes
01.13.29.1,Melons,Melon,,Surface constatée,Hectare,BIO v1.2,1,,,Surfaces,Production,Légumes de plein champ,Légumes
01.13.31,"Piments et poivrons, verts (uniquement capsicum)",Poivron et piment,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Légumes de plein champ,Légumes
01.13.32,Concombres et cornichons,Concombre,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Légumes de plein champ,Légumes
01.13.33,Aubergines,Aubergine,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Légumes de plein champ,Légumes
01.13.34,Tomates,Tomate,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Légumes de plein champ,Légumes
01.13.39.2,Courgettes,Courgette,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Légumes de plein champ,Légumes
01.13.39.3,Courges et citrouilles,Courge et citrouille,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Légumes de plein champ,Légumes
01.13.39.32,Potiron / Potimarron,"Potiron, potimarron",,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Légumes de plein champ,Légumes
01.13.39.99,Autres légumes à fruits n.c.a.,Autre légume à fruit,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Légumes de plein champ,Légumes
01.13.41.1,Carottes,Carotte,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Légumes de plein champ,Légumes
01.13.41.2,Navets,Navet,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Légumes de plein champ,Légumes
01.13.42,Ail,Ail,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Légumes de plein champ,Légumes
01.13.43.1,Oignons,Oignon,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Légumes de plein champ,Légumes
01.13.43.2,Echalotes,Échalote,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Légumes de plein champ,Légumes
01.13.44,Poireaux et autres alliacés,Poireau,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Légumes de plein champ,Légumes
01.13.49.1,Radis,Radis,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Légumes de plein champ,Légumes
01.13.49.2,Betteraves rouges et à salade,Betterave rouge,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Légumes de plein champ,Légumes
01.13.49.3,Céleris raves,Céleri rave,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Légumes de plein champ,Légumes
01.13.49.4,Panais,Panais,,Surface constatée,Hectare,BIO v1.4,1,,,Surfaces,Production,Légumes de plein champ,Légumes
01.13.49.5,Salsifis,Salsifi,,Surface constatée,Hectare,BIO v1.4,1,,,Surfaces,Production,Légumes de plein champ,Légumes
01.13.49.6,Rutabagas,Rutabaga,,Surface constatée,Hectare,BIO v1.4,1,,,Surfaces,Production,Légumes de plein champ,Légumes
01.13.49.9,"Autres légumes à racine, à bulbe ou à tubercules n.c.a.","Autre légume à racine, à bulbe ou à tubercule",,Surface constatée,Hectare,BIO v1.4,1,,,Surfaces,Production,Légumes de plein champ,Légumes
01.13.51.1,Pommes de terre (hors féculière),Pomme de terre,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Légumes de plein champ,Légumes
01.13.51.2,Pommes de terre féculière,Pomme de terre féculière,,Surface constatée,Hectare,BIO v1,1,,,Surfaces,Production,Légumes de plein champ,Légumes
01.13.52,Patates douces,Patate douce,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Légumes de plein champ,Légumes
01.13.53,Manioc,Manioc,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Légumes de plein champ,Légumes
01.13.54,Colocases,Taro,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Légumes de plein champ,Légumes
01.13.6,"Plants et semences potagers, à l'exclusion des semences de betteraves",Plants et semences potagers,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Semences et plants,Autres surfaces
01.13.71,Betteraves à sucre,Betterave à sucre,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Cultures industrielles,Autres surfaces
01.13.72,Semences de betteraves à sucre,Semences de betterave à sucre,,Surface constatée,Hectare,CPF rev2,1,,,Surfaces,Production,Semences et plants,Autres surfaces
01.13.80.1,Champignons,Champignon,,Surface constatée,Hectare,BIO v1.4,1,,,Surfaces,Production,Maraîchage diversifié et champignons,Légumes
01.13.80.2,Truffes,Truffière,,Surface constatée,Hectare,BIO v1.4,1,,,Surfaces,Production,Maraîchage diversifié et champignons,Légumes
